### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13395]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13395 (seed = 44810) ...
  1/200   risk = 0.1  time = 0   
  5/200   risk = 0.075  time = 247   
 10/200   risk = 0.055  time = 430   
 15/200   risk = 0.042  time = 593   
 20/200   risk = 0.034  time = 757   
 25/200   risk = 0.029  time = 921   
 30/200   risk = 0.026  time = 1094   
 35/200   risk = 0.024  time = 1265   
 40/200   risk = 0.023  time = 1430   
 45/200   risk = 0.022  time = 1589   
 50/200   risk = 0.022  time = 1754   
 55/200   risk = 0.021  time = 1934   
 60/200   risk = 0.021  time = 2103   
 65/200   risk = 0.021  time = 2288   
 70/200   risk = 0.021  time = 2463   
 75/200   risk = 0.02  time = 2630   
 80/200   risk = 0.02  time = 2797   
 85/200   risk = 0.02  time = 2968   
 90/200   risk = 0.02  time = 3146   
 95/200   risk = 0.02  time = 3315   
100/200   risk = 0.02  time = 3492   
105/200   risk = 0.02  time = 3673   
110/200   risk = 0.02  time = 3857   
115/200   risk = 0.02  time = 4036   
120/200   risk = 0.02  time = 4221   
125/200   risk = 0.02  time = 4409   
130/200   risk = 0.02  time = 4597   
135/200   risk = 0.02  time = 4786   
140/200   risk = 0.02  time = 4976   
145/200   risk = 0.02  time = 5168   
150/200   risk = 0.02  time = 5407   
155/200   risk = 0.02  time = 5596   
160/200   risk = 0.02  time = 5784   
165/200   risk = 0.02  time = 5974   
170/200   risk = 0.02  time = 6166   
175/200   risk = 0.02  time = 6361   
180/200   risk = 0.02  time = 6543   
185/200   risk = 0.02  time = 6725   
190/200   risk = 0.02  time = 6912   
195/200   risk = 0.02  time = 7097   
200/200   risk = 0.02  time = 7288   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=13395]
### [bt]: Calculation finished!
