### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12763]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12763 (seed = 44178) ...
  1/200   risk = 0.25  time = 0   
  5/200   risk = 0.17  time = 3841   
 10/200   risk = 0.11  time = 7385   
 15/200   risk = 0.078  time = 10506   
 20/200   risk = 0.056  time = 13407   
 25/200   risk = 0.042  time = 16385   
 30/200   risk = 0.034  time = 19300   
 35/200   risk = 0.029  time = 22331   
 40/200   risk = 0.026  time = 25372   
 45/200   risk = 0.024  time = 28463   
 50/200   risk = 0.023  time = 31507   
 55/200   risk = 0.022  time = 34653   
 60/200   risk = 0.021  time = 37663   
 65/200   risk = 0.021  time = 40696   
 70/200   risk = 0.021  time = 43650   
 75/200   risk = 0.021  time = 46674   
 80/200   risk = 0.021  time = 49619   
 85/200   risk = 0.02  time = 52617   
 90/200   risk = 0.02  time = 55704   
 95/200   risk = 0.02  time = 58969   
100/200   risk = 0.02  time = 62103   
105/200   risk = 0.02  time = 65022   
110/200   risk = 0.02  time = 68271   
115/200   risk = 0.02  time = 71404   
120/200   risk = 0.02  time = 74800   
125/200   risk = 0.02  time = 77908   
130/200   risk = 0.02  time = 81094   
135/200   risk = 0.02  time = 84279   
140/200   risk = 0.02  time = 87346   
145/200   risk = 0.02  time = 90401   
150/200   risk = 0.02  time = 93518   
155/200   risk = 0.02  time = 96676   
160/200   risk = 0.02  time = 99829   
165/200   risk = 0.02  time = 103098   
170/200   risk = 0.02  time = 106241   
175/200   risk = 0.02  time = 109258   
180/200   risk = 0.02  time = 112356   
185/200   risk = 0.02  time = 115396   
190/200   risk = 0.02  time = 118655   
195/200   risk = 0.02  time = 121747   
200/200   risk = 0.02  time = 124818   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=12763]
### [bt]: Calculation finished!
