### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10093]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10093 (seed = 41508) ...
  1/200   risk = 0.3  time = 0   
  5/200   risk = 0.21  time = 128   
 10/200   risk = 0.14  time = 204   
 15/200   risk = 0.094  time = 271   
 20/200   risk = 0.068  time = 340   
 25/200   risk = 0.051  time = 409   
 30/200   risk = 0.041  time = 477   
 35/200   risk = 0.035  time = 547   
 40/200   risk = 0.031  time = 626   
 45/200   risk = 0.028  time = 702   
 50/200   risk = 0.026  time = 777   
 55/200   risk = 0.025  time = 860   
 60/200   risk = 0.025  time = 943   
 65/200   risk = 0.024  time = 1025   
 70/200   risk = 0.024  time = 1110   
 75/200   risk = 0.024  time = 1201   
 80/200   risk = 0.024  time = 1302   
 85/200   risk = 0.024  time = 1384   
 90/200   risk = 0.023  time = 1470   
 95/200   risk = 0.023  time = 1554   
100/200   risk = 0.023  time = 1643   
105/200   risk = 0.023  time = 1729   
110/200   risk = 0.023  time = 1819   
115/200   risk = 0.023  time = 1906   
120/200   risk = 0.023  time = 2001   
125/200   risk = 0.023  time = 2089   
130/200   risk = 0.023  time = 2187   
135/200   risk = 0.023  time = 2281   
140/200   risk = 0.023  time = 2373   
145/200   risk = 0.023  time = 2473   
150/200   risk = 0.023  time = 2567   
155/200   risk = 0.023  time = 2668   
160/200   risk = 0.023  time = 2764   
165/200   risk = 0.023  time = 2880   
170/200   risk = 0.023  time = 3026   
175/200   risk = 0.023  time = 3274   
180/200   risk = 0.023  time = 3420   
185/200   risk = 0.023  time = 3535   
190/200   risk = 0.023  time = 3639   
195/200   risk = 0.023  time = 3749   
200/200   risk = 0.023  time = 3855   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=10093]
### [bt]: Calculation finished!
