### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6066]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6066 (seed = 37481) ...
  1/200   risk = 0.22  time = 0   
  5/200   risk = 0.16  time = 188   
 10/200   risk = 0.11  time = 319   
 15/200   risk = 0.081  time = 421   
 20/200   risk = 0.062  time = 525   
 25/200   risk = 0.049  time = 627   
 30/200   risk = 0.042  time = 729   
 35/200   risk = 0.037  time = 834   
 40/200   risk = 0.033  time = 943   
 45/200   risk = 0.031  time = 1055   
 50/200   risk = 0.03  time = 1181   
 55/200   risk = 0.029  time = 1304   
 60/200   risk = 0.028  time = 1424   
 65/200   risk = 0.027  time = 1565   
 70/200   risk = 0.027  time = 1683   
 75/200   risk = 0.027  time = 1797   
 80/200   risk = 0.026  time = 1919   
 85/200   risk = 0.026  time = 2035   
 90/200   risk = 0.026  time = 2169   
 95/200   risk = 0.026  time = 2750   
100/200   risk = 0.026  time = 2884   
105/200   risk = 0.026  time = 3004   
110/200   risk = 0.025  time = 3133   
115/200   risk = 0.025  time = 3253   
120/200   risk = 0.025  time = 3392   
125/200   risk = 0.025  time = 3508   
130/200   risk = 0.025  time = 3638   
135/200   risk = 0.025  time = 3759   
140/200   risk = 0.025  time = 3880   
145/200   risk = 0.025  time = 4006   
150/200   risk = 0.025  time = 4130   
155/200   risk = 0.024  time = 4254   
160/200   risk = 0.024  time = 4380   
165/200   risk = 0.024  time = 4506   
170/200   risk = 0.024  time = 4640   
175/200   risk = 0.024  time = 4768   
180/200   risk = 0.024  time = 4912   
185/200   risk = 0.024  time = 5044   
190/200   risk = 0.024  time = 5180   
195/200   risk = 0.024  time = 5485   
200/200   risk = 0.024  time = 5634   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.024


### [bt]: Job terminated successfully [batchtools job.id=6066]
### [bt]: Calculation finished!
