### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11329]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11329 (seed = 42744) ...
  1/200   risk = 0.077  time = 0   
  5/200   risk = 0.061  time = 320   
 10/200   risk = 0.047  time = 640   
 15/200   risk = 0.038  time = 1014   
 20/200   risk = 0.032  time = 1327   
 25/200   risk = 0.029  time = 1630   
 30/200   risk = 0.026  time = 1932   
 35/200   risk = 0.025  time = 2233   
 40/200   risk = 0.024  time = 2542   
 45/200   risk = 0.023  time = 2846   
 50/200   risk = 0.022  time = 3148   
 55/200   risk = 0.022  time = 3456   
 60/200   risk = 0.022  time = 3765   
 65/200   risk = 0.022  time = 4079   
 70/200   risk = 0.022  time = 4409   
 75/200   risk = 0.021  time = 4729   
 80/200   risk = 0.021  time = 5096   
 85/200   risk = 0.021  time = 5570   
 90/200   risk = 0.021  time = 6088   
 95/200   risk = 0.021  time = 6607   
100/200   risk = 0.021  time = 7123   
105/200   risk = 0.021  time = 7603   
110/200   risk = 0.021  time = 7922   
115/200   risk = 0.021  time = 8230   
120/200   risk = 0.021  time = 8552   
125/200   risk = 0.021  time = 8875   
130/200   risk = 0.021  time = 9203   
135/200   risk = 0.021  time = 9524   
140/200   risk = 0.021  time = 9844   
145/200   risk = 0.021  time = 10165   
150/200   risk = 0.021  time = 10502   
155/200   risk = 0.021  time = 10833   
160/200   risk = 0.021  time = 11151   
165/200   risk = 0.021  time = 11465   
170/200   risk = 0.021  time = 11788   
175/200   risk = 0.021  time = 12104   
180/200   risk = 0.021  time = 12422   
185/200   risk = 0.021  time = 12744   
190/200   risk = 0.021  time = 13063   
195/200   risk = 0.021  time = 13383   
200/200   risk = 0.021  time = 13729   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=11329]
### [bt]: Calculation finished!
