### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7656]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7656 (seed = 39071) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.13  time = 194   
 10/200   risk = 0.093  time = 314   
 15/200   risk = 0.069  time = 427   
 20/200   risk = 0.054  time = 545   
 25/200   risk = 0.044  time = 667   
 30/200   risk = 0.037  time = 786   
 35/200   risk = 0.033  time = 914   
 40/200   risk = 0.03  time = 1034   
 45/200   risk = 0.028  time = 1152   
 50/200   risk = 0.027  time = 1277   
 55/200   risk = 0.026  time = 1402   
 60/200   risk = 0.025  time = 1527   
 65/200   risk = 0.025  time = 1657   
 70/200   risk = 0.024  time = 1787   
 75/200   risk = 0.024  time = 1917   
 80/200   risk = 0.024  time = 2050   
 85/200   risk = 0.024  time = 2179   
 90/200   risk = 0.024  time = 2308   
 95/200   risk = 0.024  time = 2443   
100/200   risk = 0.023  time = 2578   
105/200   risk = 0.023  time = 2713   
110/200   risk = 0.023  time = 2849   
115/200   risk = 0.023  time = 2990   
120/200   risk = 0.023  time = 3144   
125/200   risk = 0.023  time = 3291   
130/200   risk = 0.023  time = 3440   
135/200   risk = 0.023  time = 3588   
140/200   risk = 0.023  time = 3732   
145/200   risk = 0.023  time = 3877   
150/200   risk = 0.023  time = 4022   
155/200   risk = 0.023  time = 4210   
160/200   risk = 0.023  time = 4354   
165/200   risk = 0.023  time = 4497   
170/200   risk = 0.023  time = 4640   
175/200   risk = 0.023  time = 4788   
180/200   risk = 0.023  time = 4939   
185/200   risk = 0.023  time = 5094   
190/200   risk = 0.023  time = 5246   
195/200   risk = 0.023  time = 5406   
200/200   risk = 0.023  time = 5568   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=7656]
### [bt]: Calculation finished!
