### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=399]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 399 (seed = 31814) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.21  time = 1998   
 10/200   risk = 0.16  time = 3765   
 15/200   risk = 0.13  time = 5400   
 20/200   risk = 0.1  time = 7052   
 25/200   risk = 0.085  time = 8672   
 30/200   risk = 0.074  time = 10358   
 35/200   risk = 0.065  time = 12030   
 40/200   risk = 0.059  time = 13668   
 45/200   risk = 0.055  time = 15294   
 50/200   risk = 0.051  time = 16937   
 55/200   risk = 0.049  time = 18586   
 60/200   risk = 0.047  time = 20153   
 65/200   risk = 0.045  time = 21711   
 70/200   risk = 0.044  time = 23218   
 75/200   risk = 0.043  time = 24668   
 80/200   risk = 0.042  time = 26147   
 85/200   risk = 0.041  time = 27589   
 90/200   risk = 0.04  time = 34252   
 95/200   risk = 0.039  time = 38342   
100/200   risk = 0.039  time = 42344   
105/200   risk = 0.038  time = 46433   
110/200   risk = 0.038  time = 54191   
115/200   risk = 0.038  time = 58220   
120/200   risk = 0.037  time = 61925   
125/200   risk = 0.037  time = 67878   
130/200   risk = 0.036  time = 71565   
135/200   risk = 0.036  time = 75152   
140/200   risk = 0.036  time = 78737   
145/200   risk = 0.036  time = 100652   
150/200   risk = 0.035  time = 104456   
155/200   risk = 0.035  time = 116989   
160/200   risk = 0.035  time = 120630   
165/200   risk = 0.035  time = 124141   
170/200   risk = 0.035  time = 129454   
175/200   risk = 0.035  time = 133357   
180/200   risk = 0.034  time = 136932   
185/200   risk = 0.034  time = 149363   
190/200   risk = 0.034  time = 152639   
195/200   risk = 0.034  time = 155219   
200/200   risk = 0.034  time = 158456   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.034


### [bt]: Job terminated successfully [batchtools job.id=399]
### [bt]: Calculation finished!
