### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7948]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7948 (seed = 39363) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 2554   
 10/200   risk = 0.086  time = 5607   
 15/200   risk = 0.063  time = 8620   
 20/200   risk = 0.049  time = 11639   
 25/200   risk = 0.039  time = 14642   
 30/200   risk = 0.033  time = 17634   
 35/200   risk = 0.029  time = 20705   
 40/200   risk = 0.027  time = 23811   
 45/200   risk = 0.025  time = 26911   
 50/200   risk = 0.024  time = 30022   
 55/200   risk = 0.023  time = 33134   
 60/200   risk = 0.022  time = 36243   
 65/200   risk = 0.022  time = 39350   
 70/200   risk = 0.022  time = 42459   
 75/200   risk = 0.021  time = 45571   
 80/200   risk = 0.021  time = 48675   
 85/200   risk = 0.021  time = 51794   
 90/200   risk = 0.021  time = 54902   
 95/200   risk = 0.021  time = 58016   
100/200   risk = 0.021  time = 61127   
105/200   risk = 0.021  time = 64266   
110/200   risk = 0.021  time = 67392   
115/200   risk = 0.021  time = 70505   
120/200   risk = 0.021  time = 73624   
125/200   risk = 0.021  time = 76928   
130/200   risk = 0.021  time = 80041   
135/200   risk = 0.021  time = 83054   
140/200   risk = 0.021  time = 86227   
145/200   risk = 0.021  time = 89427   
150/200   risk = 0.021  time = 92558   
155/200   risk = 0.021  time = 95676   
160/200   risk = 0.021  time = 98815   
165/200   risk = 0.02  time = 101997   
170/200   risk = 0.02  time = 105165   
175/200   risk = 0.02  time = 108399   
180/200   risk = 0.02  time = 111637   
185/200   risk = 0.02  time = 114871   
190/200   risk = 0.02  time = 118085   
195/200   risk = 0.02  time = 121303   
200/200   risk = 0.02  time = 124485   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7948]
### [bt]: Calculation finished!
