### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=580]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 580 (seed = 31995) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 199   
 10/200   risk = 0.19  time = 368   
 15/200   risk = 0.16  time = 503   
 20/200   risk = 0.13  time = 666   
 25/200   risk = 0.12  time = 795   
 30/200   risk = 0.11  time = 932   
 35/200   risk = 0.1  time = 1063   
 40/200   risk = 0.094  time = 1197   
 45/200   risk = 0.089  time = 1328   
 50/200   risk = 0.085  time = 1472   
 55/200   risk = 0.083  time = 1600   
 60/200   risk = 0.08  time = 1737   
 65/200   risk = 0.079  time = 1888   
 70/200   risk = 0.077  time = 2033   
 75/200   risk = 0.076  time = 2172   
 80/200   risk = 0.075  time = 2310   
 85/200   risk = 0.074  time = 2456   
 90/200   risk = 0.073  time = 2601   
 95/200   risk = 0.072  time = 2735   
100/200   risk = 0.071  time = 2876   
105/200   risk = 0.071  time = 3032   
110/200   risk = 0.07  time = 3170   
115/200   risk = 0.07  time = 3307   
120/200   risk = 0.069  time = 3446   
125/200   risk = 0.069  time = 3586   
130/200   risk = 0.069  time = 3728   
135/200   risk = 0.068  time = 3875   
140/200   risk = 0.068  time = 4027   
145/200   risk = 0.068  time = 4177   
150/200   risk = 0.067  time = 4327   
155/200   risk = 0.067  time = 4487   
160/200   risk = 0.067  time = 4634   
165/200   risk = 0.067  time = 4790   
170/200   risk = 0.066  time = 4940   
175/200   risk = 0.066  time = 5087   
180/200   risk = 0.066  time = 5239   
185/200   risk = 0.066  time = 5393   
190/200   risk = 0.066  time = 5547   
195/200   risk = 0.065  time = 5704   
200/200   risk = 0.065  time = 5857   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.065


### [bt]: Job terminated successfully [batchtools job.id=580]
### [bt]: Calculation finished!
