### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=53]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 53 (seed = 31468) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.21  time = 202   
 10/200   risk = 0.16  time = 307   
 15/200   risk = 0.13  time = 370   
 20/200   risk = 0.11  time = 432   
 25/200   risk = 0.095  time = 494   
 30/200   risk = 0.084  time = 558   
 35/200   risk = 0.076  time = 621   
 40/200   risk = 0.07  time = 688   
 45/200   risk = 0.066  time = 760   
 50/200   risk = 0.063  time = 833   
 55/200   risk = 0.061  time = 903   
 60/200   risk = 0.059  time = 975   
 65/200   risk = 0.057  time = 1054   
 70/200   risk = 0.056  time = 1123   
 75/200   risk = 0.055  time = 1191   
 80/200   risk = 0.054  time = 1259   
 85/200   risk = 0.054  time = 1339   
 90/200   risk = 0.053  time = 1413   
 95/200   risk = 0.052  time = 1486   
100/200   risk = 0.052  time = 1558   
105/200   risk = 0.051  time = 1629   
110/200   risk = 0.051  time = 1702   
115/200   risk = 0.051  time = 1777   
120/200   risk = 0.05  time = 1851   
125/200   risk = 0.05  time = 1927   
130/200   risk = 0.05  time = 2005   
135/200   risk = 0.049  time = 2083   
140/200   risk = 0.049  time = 2161   
145/200   risk = 0.049  time = 2241   
150/200   risk = 0.049  time = 2321   
155/200   risk = 0.048  time = 2401   
160/200   risk = 0.048  time = 2492   
165/200   risk = 0.048  time = 2569   
170/200   risk = 0.048  time = 2647   
175/200   risk = 0.048  time = 2725   
180/200   risk = 0.048  time = 2806   
185/200   risk = 0.047  time = 2887   
190/200   risk = 0.047  time = 2967   
195/200   risk = 0.047  time = 3050   
200/200   risk = 0.047  time = 3135   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.047


### [bt]: Job terminated successfully [batchtools job.id=53]
### [bt]: Calculation finished!
