### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6176]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6176 (seed = 37591) ...
  1/200   risk = 0.25  time = 0   
  5/200   risk = 0.18  time = 191   
 10/200   risk = 0.12  time = 361   
 15/200   risk = 0.089  time = 506   
 20/200   risk = 0.067  time = 646   
 25/200   risk = 0.053  time = 791   
 30/200   risk = 0.044  time = 946   
 35/200   risk = 0.038  time = 1098   
 40/200   risk = 0.034  time = 1247   
 45/200   risk = 0.032  time = 1426   
 50/200   risk = 0.03  time = 1595   
 55/200   risk = 0.029  time = 1769   
 60/200   risk = 0.028  time = 1937   
 65/200   risk = 0.028  time = 2105   
 70/200   risk = 0.027  time = 2266   
 75/200   risk = 0.027  time = 2431   
 80/200   risk = 0.027  time = 2596   
 85/200   risk = 0.026  time = 2759   
 90/200   risk = 0.026  time = 2925   
 95/200   risk = 0.026  time = 3093   
100/200   risk = 0.026  time = 3260   
105/200   risk = 0.026  time = 3426   
110/200   risk = 0.025  time = 3598   
115/200   risk = 0.025  time = 3774   
120/200   risk = 0.025  time = 3947   
125/200   risk = 0.025  time = 4124   
130/200   risk = 0.025  time = 4344   
135/200   risk = 0.025  time = 4532   
140/200   risk = 0.025  time = 4717   
145/200   risk = 0.025  time = 4901   
150/200   risk = 0.025  time = 5087   
155/200   risk = 0.024  time = 5278   
160/200   risk = 0.024  time = 5473   
165/200   risk = 0.024  time = 5660   
170/200   risk = 0.024  time = 5851   
175/200   risk = 0.024  time = 6042   
180/200   risk = 0.024  time = 6225   
185/200   risk = 0.024  time = 6414   
190/200   risk = 0.024  time = 6603   
195/200   risk = 0.024  time = 6792   
200/200   risk = 0.024  time = 6981   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.024


### [bt]: Job terminated successfully [batchtools job.id=6176]
### [bt]: Calculation finished!
