### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1516]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1516 (seed = 32931) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.22  time = 4096   
 10/200   risk = 0.18  time = 8560   
 15/200   risk = 0.15  time = 12567   
 20/200   risk = 0.13  time = 16468   
 25/200   risk = 0.11  time = 20577   
 30/200   risk = 0.098  time = 24616   
 35/200   risk = 0.089  time = 28678   
 40/200   risk = 0.082  time = 32772   
 45/200   risk = 0.077  time = 36816   
 50/200   risk = 0.073  time = 41040   
 55/200   risk = 0.069  time = 45280   
 60/200   risk = 0.067  time = 49439   
 65/200   risk = 0.064  time = 53751   
 70/200   risk = 0.062  time = 57831   
 75/200   risk = 0.061  time = 61796   
 80/200   risk = 0.059  time = 65921   
 85/200   risk = 0.058  time = 69965   
 90/200   risk = 0.057  time = 74352   
 95/200   risk = 0.056  time = 78869   
100/200   risk = 0.055  time = 82969   
105/200   risk = 0.055  time = 87171   
110/200   risk = 0.054  time = 91205   
115/200   risk = 0.053  time = 95230   
120/200   risk = 0.053  time = 99113   
125/200   risk = 0.052  time = 103141   
130/200   risk = 0.052  time = 107220   
135/200   risk = 0.051  time = 111285   
140/200   risk = 0.051  time = 115295   
145/200   risk = 0.05  time = 119303   
150/200   risk = 0.05  time = 123291   
155/200   risk = 0.049  time = 127234   
160/200   risk = 0.049  time = 131763   
165/200   risk = 0.049  time = 136331   
170/200   risk = 0.049  time = 142254   
175/200   risk = 0.048  time = 149266   
180/200   risk = 0.048  time = 156324   
185/200   risk = 0.048  time = 163344   
190/200   risk = 0.047  time = 170206   
195/200   risk = 0.047  time = 177201   
200/200   risk = 0.047  time = 184496   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.047


### [bt]: Job terminated successfully [batchtools job.id=1516]
### [bt]: Calculation finished!
