### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3920]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3920 (seed = 35335) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.21  time = 6094   
 10/200   risk = 0.15  time = 17636   
 15/200   risk = 0.11  time = 30177   
 20/200   risk = 0.089  time = 38185   
 25/200   risk = 0.073  time = 45351   
 30/200   risk = 0.062  time = 55276   
 35/200   risk = 0.054  time = 64973   
 40/200   risk = 0.048  time = 75178   
 45/200   risk = 0.044  time = 85355   
 50/200   risk = 0.041  time = 96944   
 55/200   risk = 0.039  time = 108712   
 60/200   risk = 0.037  time = 116726   
 65/200   risk = 0.036  time = 127185   
 70/200   risk = 0.035  time = 138451   
 75/200   risk = 0.034  time = 148913   
 80/200   risk = 0.033  time = 159311   
 85/200   risk = 0.032  time = 166012   
 90/200   risk = 0.031  time = 171671   
 95/200   risk = 0.031  time = 177543   
100/200   risk = 0.03  time = 185038   
105/200   risk = 0.03  time = 191701   
110/200   risk = 0.029  time = 198496   
115/200   risk = 0.029  time = 207472   
120/200   risk = 0.029  time = 215065   
125/200   risk = 0.028  time = 224815   
130/200   risk = 0.028  time = 232290   
135/200   risk = 0.028  time = 239542   
140/200   risk = 0.028  time = 246783   
145/200   risk = 0.027  time = 254223   
150/200   risk = 0.027  time = 261251   
155/200   risk = 0.027  time = 268134   
160/200   risk = 0.027  time = 274868   
165/200   risk = 0.026  time = 281576   
170/200   risk = 0.026  time = 288556   
175/200   risk = 0.026  time = 295588   
180/200   risk = 0.026  time = 303379   
185/200   risk = 0.026  time = 310467   
190/200   risk = 0.026  time = 317718   
195/200   risk = 0.026  time = 325077   
200/200   risk = 0.025  time = 332566   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.025


### [bt]: Job terminated successfully [batchtools job.id=3920]
### [bt]: Calculation finished!
