### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6041]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6041 (seed = 37456) ...
  1/200   risk = 0.23  time = 0   
  5/200   risk = 0.16  time = 230   
 10/200   risk = 0.11  time = 430   
 15/200   risk = 0.08  time = 621   
 20/200   risk = 0.06  time = 814   
 25/200   risk = 0.047  time = 1006   
 30/200   risk = 0.039  time = 1198   
 35/200   risk = 0.034  time = 1390   
 40/200   risk = 0.03  time = 1587   
 45/200   risk = 0.028  time = 1784   
 50/200   risk = 0.027  time = 1993   
 55/200   risk = 0.026  time = 2229   
 60/200   risk = 0.025  time = 2426   
 65/200   risk = 0.024  time = 2625   
 70/200   risk = 0.024  time = 2819   
 75/200   risk = 0.024  time = 3032   
 80/200   risk = 0.023  time = 3232   
 85/200   risk = 0.023  time = 3474   
 90/200   risk = 0.023  time = 3679   
 95/200   risk = 0.023  time = 3886   
100/200   risk = 0.022  time = 4106   
105/200   risk = 0.022  time = 4334   
110/200   risk = 0.022  time = 4550   
115/200   risk = 0.022  time = 4768   
120/200   risk = 0.022  time = 4984   
125/200   risk = 0.022  time = 5208   
130/200   risk = 0.022  time = 5518   
135/200   risk = 0.022  time = 5752   
140/200   risk = 0.022  time = 5964   
145/200   risk = 0.021  time = 6196   
150/200   risk = 0.021  time = 6417   
155/200   risk = 0.021  time = 6651   
160/200   risk = 0.021  time = 6884   
165/200   risk = 0.021  time = 7108   
170/200   risk = 0.021  time = 7341   
175/200   risk = 0.021  time = 7569   
180/200   risk = 0.021  time = 7812   
185/200   risk = 0.021  time = 8043   
190/200   risk = 0.021  time = 8273   
195/200   risk = 0.021  time = 8504   
200/200   risk = 0.021  time = 8737   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=6041]
### [bt]: Calculation finished!
