### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11189]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11189 (seed = 42604) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.089  time = 4457   
 10/200   risk = 0.064  time = 8701   
 15/200   risk = 0.049  time = 12305   
 20/200   risk = 0.039  time = 16137   
 25/200   risk = 0.033  time = 19881   
 30/200   risk = 0.029  time = 23643   
 35/200   risk = 0.027  time = 27613   
 40/200   risk = 0.025  time = 31581   
 45/200   risk = 0.024  time = 35430   
 50/200   risk = 0.023  time = 39203   
 55/200   risk = 0.023  time = 42913   
 60/200   risk = 0.022  time = 46969   
 65/200   risk = 0.022  time = 50967   
 70/200   risk = 0.022  time = 54816   
 75/200   risk = 0.022  time = 58740   
 80/200   risk = 0.022  time = 63211   
 85/200   risk = 0.022  time = 67121   
 90/200   risk = 0.021  time = 70797   
 95/200   risk = 0.021  time = 74677   
100/200   risk = 0.021  time = 78438   
105/200   risk = 0.021  time = 82281   
110/200   risk = 0.021  time = 86160   
115/200   risk = 0.021  time = 90044   
120/200   risk = 0.021  time = 93962   
125/200   risk = 0.021  time = 97620   
130/200   risk = 0.021  time = 101354   
135/200   risk = 0.021  time = 105769   
140/200   risk = 0.021  time = 110178   
145/200   risk = 0.021  time = 114703   
150/200   risk = 0.021  time = 119368   
155/200   risk = 0.021  time = 124041   
160/200   risk = 0.021  time = 128669   
165/200   risk = 0.021  time = 133078   
170/200   risk = 0.021  time = 137509   
175/200   risk = 0.021  time = 141869   
180/200   risk = 0.021  time = 146374   
185/200   risk = 0.021  time = 150847   
190/200   risk = 0.021  time = 155379   
195/200   risk = 0.021  time = 159816   
200/200   risk = 0.021  time = 164551   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=11189]
### [bt]: Calculation finished!
