### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11207]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11207 (seed = 42622) ...
  1/200   risk = 0.066  time = 0   
  5/200   risk = 0.054  time = 226   
 10/200   risk = 0.043  time = 432   
 15/200   risk = 0.036  time = 629   
 20/200   risk = 0.031  time = 828   
 25/200   risk = 0.028  time = 1028   
 30/200   risk = 0.026  time = 1228   
 35/200   risk = 0.025  time = 1430   
 40/200   risk = 0.024  time = 1658   
 45/200   risk = 0.023  time = 1864   
 50/200   risk = 0.023  time = 2067   
 55/200   risk = 0.023  time = 2272   
 60/200   risk = 0.022  time = 2476   
 65/200   risk = 0.022  time = 2686   
 70/200   risk = 0.022  time = 2909   
 75/200   risk = 0.022  time = 3113   
 80/200   risk = 0.022  time = 3316   
 85/200   risk = 0.022  time = 3519   
 90/200   risk = 0.022  time = 3776   
 95/200   risk = 0.022  time = 4010   
100/200   risk = 0.022  time = 4254   
105/200   risk = 0.022  time = 4475   
110/200   risk = 0.021  time = 4683   
115/200   risk = 0.021  time = 4888   
120/200   risk = 0.021  time = 5112   
125/200   risk = 0.021  time = 5324   
130/200   risk = 0.021  time = 5536   
135/200   risk = 0.021  time = 5747   
140/200   risk = 0.021  time = 5960   
145/200   risk = 0.021  time = 6174   
150/200   risk = 0.021  time = 6391   
155/200   risk = 0.021  time = 6663   
160/200   risk = 0.021  time = 6927   
165/200   risk = 0.021  time = 7152   
170/200   risk = 0.021  time = 7367   
175/200   risk = 0.021  time = 7584   
180/200   risk = 0.021  time = 7843   
185/200   risk = 0.021  time = 8116   
190/200   risk = 0.021  time = 8391   
195/200   risk = 0.021  time = 8651   
200/200   risk = 0.021  time = 8883   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=11207]
### [bt]: Calculation finished!
