### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3291]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3291 (seed = 34706) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.23  time = 170   
 10/200   risk = 0.19  time = 343   
 15/200   risk = 0.17  time = 470   
 20/200   risk = 0.16  time = 599   
 25/200   risk = 0.15  time = 730   
 30/200   risk = 0.15  time = 861   
 35/200   risk = 0.15  time = 1007   
 40/200   risk = 0.14  time = 1137   
 45/200   risk = 0.14  time = 1265   
 50/200   risk = 0.14  time = 1382   
 55/200   risk = 0.14  time = 1511   
 60/200   risk = 0.14  time = 1648   
 65/200   risk = 0.14  time = 1764   
 70/200   risk = 0.14  time = 1894   
 75/200   risk = 0.14  time = 2045   
 80/200   risk = 0.14  time = 2187   
 85/200   risk = 0.14  time = 2327   
 90/200   risk = 0.14  time = 2466   
 95/200   risk = 0.14  time = 2610   
100/200   risk = 0.14  time = 2755   
105/200   risk = 0.14  time = 2902   
110/200   risk = 0.14  time = 3044   
115/200   risk = 0.14  time = 3191   
120/200   risk = 0.14  time = 3345   
125/200   risk = 0.14  time = 3515   
130/200   risk = 0.14  time = 3675   
135/200   risk = 0.14  time = 3830   
140/200   risk = 0.14  time = 3981   
145/200   risk = 0.14  time = 4134   
150/200   risk = 0.14  time = 4282   
155/200   risk = 0.14  time = 4454   
160/200   risk = 0.14  time = 4610   
165/200   risk = 0.14  time = 4766   
170/200   risk = 0.14  time = 4922   
175/200   risk = 0.14  time = 5077   
180/200   risk = 0.14  time = 5233   
185/200   risk = 0.14  time = 5397   
190/200   risk = 0.14  time = 5552   
195/200   risk = 0.14  time = 5715   
200/200   risk = 0.14  time = 5875   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.14


### [bt]: Job terminated successfully [batchtools job.id=3291]
### [bt]: Calculation finished!
