### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10251]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10251 (seed = 41666) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.19  time = 504   
 10/200   risk = 0.13  time = 1081   
 15/200   risk = 0.087  time = 1537   
 20/200   risk = 0.062  time = 1990   
 25/200   risk = 0.046  time = 2440   
 30/200   risk = 0.037  time = 2894   
 35/200   risk = 0.031  time = 3388   
 40/200   risk = 0.027  time = 3913   
 45/200   risk = 0.025  time = 4494   
 50/200   risk = 0.024  time = 4953   
 55/200   risk = 0.023  time = 5421   
 60/200   risk = 0.022  time = 5897   
 65/200   risk = 0.022  time = 6372   
 70/200   risk = 0.021  time = 6886   
 75/200   risk = 0.021  time = 7353   
 80/200   risk = 0.021  time = 7823   
 85/200   risk = 0.021  time = 8294   
 90/200   risk = 0.021  time = 8767   
 95/200   risk = 0.021  time = 9236   
100/200   risk = 0.021  time = 9708   
105/200   risk = 0.021  time = 10184   
110/200   risk = 0.021  time = 11360   
115/200   risk = 0.021  time = 11822   
120/200   risk = 0.021  time = 14062   
125/200   risk = 0.021  time = 14608   
130/200   risk = 0.021  time = 15098   
135/200   risk = 0.021  time = 15591   
140/200   risk = 0.021  time = 16089   
145/200   risk = 0.021  time = 16580   
150/200   risk = 0.021  time = 17098   
155/200   risk = 0.021  time = 17582   
160/200   risk = 0.021  time = 18068   
165/200   risk = 0.021  time = 18562   
170/200   risk = 0.021  time = 19068   
175/200   risk = 0.021  time = 19557   
180/200   risk = 0.021  time = 20053   
185/200   risk = 0.021  time = 20600   
190/200   risk = 0.021  time = 21120   
195/200   risk = 0.021  time = 21637   
200/200   risk = 0.021  time = 22160   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=10251]
### [bt]: Calculation finished!
