### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=958]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 958 (seed = 32373) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.22  time = 135   
 10/200   risk = 0.16  time = 268   
 15/200   risk = 0.13  time = 364   
 20/200   risk = 0.11  time = 447   
 25/200   risk = 0.1  time = 534   
 30/200   risk = 0.095  time = 623   
 35/200   risk = 0.091  time = 711   
 40/200   risk = 0.089  time = 798   
 45/200   risk = 0.087  time = 884   
 50/200   risk = 0.086  time = 969   
 55/200   risk = 0.086  time = 1059   
 60/200   risk = 0.085  time = 1148   
 65/200   risk = 0.085  time = 1238   
 70/200   risk = 0.085  time = 1330   
 75/200   risk = 0.085  time = 1420   
 80/200   risk = 0.085  time = 1510   
 85/200   risk = 0.085  time = 1603   
 90/200   risk = 0.085  time = 1695   
 95/200   risk = 0.085  time = 1791   
100/200   risk = 0.085  time = 1885   
105/200   risk = 0.085  time = 2008   
110/200   risk = 0.085  time = 2106   
115/200   risk = 0.085  time = 2204   
120/200   risk = 0.085  time = 2298   
125/200   risk = 0.085  time = 2393   
130/200   risk = 0.085  time = 2495   
135/200   risk = 0.085  time = 2595   
140/200   risk = 0.085  time = 2692   
145/200   risk = 0.085  time = 2790   
150/200   risk = 0.085  time = 2890   
155/200   risk = 0.085  time = 2991   
160/200   risk = 0.085  time = 3092   
165/200   risk = 0.085  time = 3194   
170/200   risk = 0.085  time = 3296   
175/200   risk = 0.085  time = 3398   
180/200   risk = 0.085  time = 3511   
185/200   risk = 0.085  time = 3615   
190/200   risk = 0.085  time = 3722   
195/200   risk = 0.085  time = 3830   
200/200   risk = 0.085  time = 3936   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.085


### [bt]: Job terminated successfully [batchtools job.id=958]
### [bt]: Calculation finished!
