### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2200]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2200 (seed = 33615) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.24  time = 293   
 10/200   risk = 0.2  time = 519   
 15/200   risk = 0.17  time = 714   
 20/200   risk = 0.15  time = 904   
 25/200   risk = 0.13  time = 1099   
 30/200   risk = 0.12  time = 1301   
 35/200   risk = 0.12  time = 1515   
 40/200   risk = 0.11  time = 1714   
 45/200   risk = 0.11  time = 1929   
 50/200   risk = 0.1  time = 2141   
 55/200   risk = 0.1  time = 2356   
 60/200   risk = 0.1  time = 2562   
 65/200   risk = 0.1  time = 2775   
 70/200   risk = 0.099  time = 3027   
 75/200   risk = 0.098  time = 3231   
 80/200   risk = 0.098  time = 3438   
 85/200   risk = 0.098  time = 3650   
 90/200   risk = 0.097  time = 3854   
 95/200   risk = 0.097  time = 4061   
100/200   risk = 0.097  time = 4272   
105/200   risk = 0.097  time = 4489   
110/200   risk = 0.097  time = 4715   
115/200   risk = 0.097  time = 4935   
120/200   risk = 0.097  time = 5163   
125/200   risk = 0.097  time = 5380   
130/200   risk = 0.097  time = 5619   
135/200   risk = 0.097  time = 5840   
140/200   risk = 0.097  time = 6069   
145/200   risk = 0.097  time = 6292   
150/200   risk = 0.097  time = 6501   
155/200   risk = 0.097  time = 6717   
160/200   risk = 0.097  time = 6934   
165/200   risk = 0.097  time = 7176   
170/200   risk = 0.097  time = 7405   
175/200   risk = 0.097  time = 7633   
180/200   risk = 0.097  time = 7882   
185/200   risk = 0.097  time = 8121   
190/200   risk = 0.097  time = 8382   
195/200   risk = 0.097  time = 8655   
200/200   risk = 0.097  time = 8878   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.097


### [bt]: Job terminated successfully [batchtools job.id=2200]
### [bt]: Calculation finished!
