### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=603]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 603 (seed = 32018) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.22  time = 2185   
 10/200   risk = 0.17  time = 4834   
 15/200   risk = 0.13  time = 7433   
 20/200   risk = 0.11  time = 10068   
 25/200   risk = 0.091  time = 12766   
 30/200   risk = 0.079  time = 15479   
 35/200   risk = 0.07  time = 18208   
 40/200   risk = 0.064  time = 20796   
 45/200   risk = 0.06  time = 23363   
 50/200   risk = 0.056  time = 25943   
 55/200   risk = 0.054  time = 28511   
 60/200   risk = 0.052  time = 31100   
 65/200   risk = 0.05  time = 33745   
 70/200   risk = 0.048  time = 36389   
 75/200   risk = 0.047  time = 39184   
 80/200   risk = 0.046  time = 41898   
 85/200   risk = 0.046  time = 44474   
 90/200   risk = 0.045  time = 47019   
 95/200   risk = 0.044  time = 49456   
100/200   risk = 0.044  time = 51777   
105/200   risk = 0.043  time = 54175   
110/200   risk = 0.043  time = 56469   
115/200   risk = 0.042  time = 58817   
120/200   risk = 0.042  time = 61087   
125/200   risk = 0.041  time = 63434   
130/200   risk = 0.041  time = 65744   
135/200   risk = 0.041  time = 67715   
140/200   risk = 0.041  time = 69150   
145/200   risk = 0.04  time = 70571   
150/200   risk = 0.04  time = 72004   
155/200   risk = 0.04  time = 73430   
160/200   risk = 0.039  time = 74872   
165/200   risk = 0.039  time = 76300   
170/200   risk = 0.039  time = 77745   
175/200   risk = 0.039  time = 79181   
180/200   risk = 0.039  time = 80614   
185/200   risk = 0.038  time = 82028   
190/200   risk = 0.038  time = 83424   
195/200   risk = 0.038  time = 84781   
200/200   risk = 0.038  time = 86129   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.038


### [bt]: Job terminated successfully [batchtools job.id=603]
### [bt]: Calculation finished!
