### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11608]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11608 (seed = 43023) ...
  1/200   risk = 0.087  time = 0   
  5/200   risk = 0.068  time = 317   
 10/200   risk = 0.051  time = 626   
 15/200   risk = 0.041  time = 921   
 20/200   risk = 0.034  time = 1215   
 25/200   risk = 0.03  time = 1506   
 30/200   risk = 0.027  time = 1799   
 35/200   risk = 0.025  time = 2103   
 40/200   risk = 0.024  time = 2416   
 45/200   risk = 0.023  time = 2728   
 50/200   risk = 0.022  time = 3035   
 55/200   risk = 0.022  time = 3334   
 60/200   risk = 0.022  time = 3640   
 65/200   risk = 0.021  time = 3965   
 70/200   risk = 0.021  time = 4282   
 75/200   risk = 0.021  time = 4587   
 80/200   risk = 0.021  time = 4904   
 85/200   risk = 0.021  time = 5215   
 90/200   risk = 0.021  time = 5522   
 95/200   risk = 0.021  time = 5864   
100/200   risk = 0.021  time = 6193   
105/200   risk = 0.021  time = 6516   
110/200   risk = 0.021  time = 6837   
115/200   risk = 0.021  time = 7159   
120/200   risk = 0.021  time = 7486   
125/200   risk = 0.021  time = 7810   
130/200   risk = 0.021  time = 8143   
135/200   risk = 0.021  time = 8474   
140/200   risk = 0.021  time = 8826   
145/200   risk = 0.021  time = 9152   
150/200   risk = 0.021  time = 9487   
155/200   risk = 0.021  time = 9827   
160/200   risk = 0.021  time = 10165   
165/200   risk = 0.021  time = 10510   
170/200   risk = 0.021  time = 10848   
175/200   risk = 0.021  time = 11221   
180/200   risk = 0.021  time = 11570   
185/200   risk = 0.021  time = 11924   
190/200   risk = 0.021  time = 12306   
195/200   risk = 0.021  time = 12675   
200/200   risk = 0.021  time = 13062   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=11608]
### [bt]: Calculation finished!
