### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10372]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10372 (seed = 41787) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.19  time = 8129   
 10/200   risk = 0.13  time = 13814   
 15/200   risk = 0.088  time = 18668   
 20/200   risk = 0.063  time = 23408   
 25/200   risk = 0.047  time = 28224   
 30/200   risk = 0.038  time = 32744   
 35/200   risk = 0.032  time = 37573   
 40/200   risk = 0.028  time = 42209   
 45/200   risk = 0.026  time = 46947   
 50/200   risk = 0.024  time = 51513   
 55/200   risk = 0.023  time = 56290   
 60/200   risk = 0.022  time = 60875   
 65/200   risk = 0.022  time = 65614   
 70/200   risk = 0.022  time = 70367   
 75/200   risk = 0.021  time = 74982   
 80/200   risk = 0.021  time = 79147   
 85/200   risk = 0.021  time = 83556   
 90/200   risk = 0.021  time = 87756   
 95/200   risk = 0.021  time = 91880   
100/200   risk = 0.021  time = 96233   
105/200   risk = 0.021  time = 100868   
110/200   risk = 0.021  time = 105138   
115/200   risk = 0.021  time = 109313   
120/200   risk = 0.021  time = 113687   
125/200   risk = 0.021  time = 117982   
130/200   risk = 0.021  time = 121589   
135/200   risk = 0.021  time = 124934   
140/200   risk = 0.021  time = 128376   
145/200   risk = 0.021  time = 131741   
150/200   risk = 0.021  time = 134998   
155/200   risk = 0.021  time = 138514   
160/200   risk = 0.021  time = 141942   
165/200   risk = 0.021  time = 145313   
170/200   risk = 0.021  time = 148672   
175/200   risk = 0.021  time = 152000   
180/200   risk = 0.021  time = 155442   
185/200   risk = 0.021  time = 159151   
190/200   risk = 0.021  time = 162660   
195/200   risk = 0.021  time = 166198   
200/200   risk = 0.021  time = 169663   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=10372]
### [bt]: Calculation finished!
