### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8105]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8105 (seed = 39520) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.2  time = 521   
 10/200   risk = 0.13  time = 915   
 15/200   risk = 0.089  time = 1289   
 20/200   risk = 0.064  time = 1669   
 25/200   risk = 0.048  time = 2098   
 30/200   risk = 0.038  time = 2972   
 35/200   risk = 0.032  time = 3362   
 40/200   risk = 0.029  time = 3751   
 45/200   risk = 0.026  time = 4139   
 50/200   risk = 0.025  time = 4531   
 55/200   risk = 0.024  time = 4932   
 60/200   risk = 0.023  time = 5386   
 65/200   risk = 0.022  time = 5967   
 70/200   risk = 0.022  time = 6377   
 75/200   risk = 0.022  time = 6760   
 80/200   risk = 0.022  time = 7174   
 85/200   risk = 0.021  time = 7556   
 90/200   risk = 0.021  time = 7942   
 95/200   risk = 0.021  time = 8325   
100/200   risk = 0.021  time = 8728   
105/200   risk = 0.021  time = 9572   
110/200   risk = 0.021  time = 9971   
115/200   risk = 0.021  time = 10378   
120/200   risk = 0.021  time = 10775   
125/200   risk = 0.021  time = 11172   
130/200   risk = 0.021  time = 11603   
135/200   risk = 0.021  time = 12039   
140/200   risk = 0.021  time = 12627   
145/200   risk = 0.021  time = 13034   
150/200   risk = 0.021  time = 13438   
155/200   risk = 0.021  time = 13843   
160/200   risk = 0.021  time = 14252   
165/200   risk = 0.021  time = 14685   
170/200   risk = 0.021  time = 15111   
175/200   risk = 0.021  time = 15552   
180/200   risk = 0.021  time = 16435   
185/200   risk = 0.02  time = 16892   
190/200   risk = 0.02  time = 17324   
195/200   risk = 0.02  time = 17757   
200/200   risk = 0.02  time = 18189   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=8105]
### [bt]: Calculation finished!
