### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7236]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7236 (seed = 38651) ...
  1/200   risk = 0.19  time = 0   
  5/200   risk = 0.14  time = 233   
 10/200   risk = 0.096  time = 430   
 15/200   risk = 0.068  time = 623   
 20/200   risk = 0.051  time = 823   
 25/200   risk = 0.041  time = 1007   
 30/200   risk = 0.034  time = 1195   
 35/200   risk = 0.03  time = 1384   
 40/200   risk = 0.027  time = 1570   
 45/200   risk = 0.025  time = 1761   
 50/200   risk = 0.024  time = 1956   
 55/200   risk = 0.023  time = 2153   
 60/200   risk = 0.022  time = 2348   
 65/200   risk = 0.022  time = 2547   
 70/200   risk = 0.021  time = 2758   
 75/200   risk = 0.021  time = 2955   
 80/200   risk = 0.021  time = 3154   
 85/200   risk = 0.021  time = 3354   
 90/200   risk = 0.021  time = 3580   
 95/200   risk = 0.02  time = 3785   
100/200   risk = 0.02  time = 3987   
105/200   risk = 0.02  time = 4233   
110/200   risk = 0.02  time = 4441   
115/200   risk = 0.02  time = 4646   
120/200   risk = 0.02  time = 4849   
125/200   risk = 0.02  time = 5055   
130/200   risk = 0.02  time = 5267   
135/200   risk = 0.02  time = 5476   
140/200   risk = 0.02  time = 5686   
145/200   risk = 0.02  time = 5895   
150/200   risk = 0.02  time = 6105   
155/200   risk = 0.02  time = 6316   
160/200   risk = 0.02  time = 6529   
165/200   risk = 0.02  time = 6754   
170/200   risk = 0.02  time = 6969   
175/200   risk = 0.02  time = 7185   
180/200   risk = 0.02  time = 7399   
185/200   risk = 0.02  time = 7615   
190/200   risk = 0.02  time = 7831   
195/200   risk = 0.02  time = 8050   
200/200   risk = 0.02  time = 8269   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7236]
### [bt]: Calculation finished!
