### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3973]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3973 (seed = 35388) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.21  time = 1097   
 10/200   risk = 0.15  time = 2561   
 15/200   risk = 0.11  time = 3753   
 20/200   risk = 0.089  time = 5024   
 25/200   risk = 0.073  time = 6284   
 30/200   risk = 0.061  time = 8728   
 35/200   risk = 0.054  time = 13719   
 40/200   risk = 0.048  time = 16468   
 45/200   risk = 0.044  time = 23279   
 50/200   risk = 0.041  time = 28920   
 55/200   risk = 0.039  time = 31550   
 60/200   risk = 0.037  time = 38377   
 65/200   risk = 0.036  time = 41997   
 70/200   risk = 0.034  time = 44904   
 75/200   risk = 0.033  time = 57176   
 80/200   risk = 0.033  time = 60854   
 85/200   risk = 0.032  time = 63720   
 90/200   risk = 0.031  time = 66986   
 95/200   risk = 0.031  time = 70284   
100/200   risk = 0.03  time = 75533   
105/200   risk = 0.03  time = 78181   
110/200   risk = 0.029  time = 81439   
115/200   risk = 0.029  time = 84916   
120/200   risk = 0.029  time = 88531   
125/200   risk = 0.028  time = 144034   
130/200   risk = 0.028  time = 169955   
135/200   risk = 0.028  time = 200956   
140/200   risk = 0.028  time = 206402   
145/200   risk = 0.027  time = 210944   
150/200   risk = 0.027  time = 233093   
155/200   risk = 0.027  time = 240944   
160/200   risk = 0.027  time = 248278   
165/200   risk = 0.027  time = 261961   
170/200   risk = 0.026  time = 307689   
175/200   risk = 0.026  time = 321779   
180/200   risk = 0.026  time = 340421   
185/200   risk = 0.026  time = 348660   
190/200   risk = 0.026  time = 374154   
195/200   risk = 0.026  time = 383374   
200/200   risk = 0.026  time = 410090   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.026


### [bt]: Job terminated successfully [batchtools job.id=3973]
### [bt]: Calculation finished!
