### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5750]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5750 (seed = 37165) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.2  time = 337   
 10/200   risk = 0.13  time = 685   
 15/200   risk = 0.093  time = 1014   
 20/200   risk = 0.068  time = 1342   
 25/200   risk = 0.051  time = 1669   
 30/200   risk = 0.04  time = 2013   
 35/200   risk = 0.033  time = 2366   
 40/200   risk = 0.029  time = 2716   
 45/200   risk = 0.026  time = 3073   
 50/200   risk = 0.024  time = 3441   
 55/200   risk = 0.022  time = 3785   
 60/200   risk = 0.021  time = 4124   
 65/200   risk = 0.02  time = 4473   
 70/200   risk = 0.02  time = 4810   
 75/200   risk = 0.019  time = 5154   
 80/200   risk = 0.019  time = 5547   
 85/200   risk = 0.019  time = 5907   
 90/200   risk = 0.019  time = 6253   
 95/200   risk = 0.019  time = 6595   
100/200   risk = 0.019  time = 6951   
105/200   risk = 0.018  time = 7295   
110/200   risk = 0.018  time = 7639   
115/200   risk = 0.018  time = 7985   
120/200   risk = 0.018  time = 8331   
125/200   risk = 0.018  time = 8695   
130/200   risk = 0.018  time = 9063   
135/200   risk = 0.018  time = 9412   
140/200   risk = 0.018  time = 9760   
145/200   risk = 0.018  time = 10120   
150/200   risk = 0.018  time = 10471   
155/200   risk = 0.018  time = 10830   
160/200   risk = 0.018  time = 11187   
165/200   risk = 0.018  time = 11542   
170/200   risk = 0.018  time = 11897   
175/200   risk = 0.018  time = 12267   
180/200   risk = 0.018  time = 12626   
185/200   risk = 0.018  time = 12987   
190/200   risk = 0.018  time = 13346   
195/200   risk = 0.018  time = 13727   
200/200   risk = 0.018  time = 14076   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.018


### [bt]: Job terminated successfully [batchtools job.id=5750]
### [bt]: Calculation finished!
