### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11936]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11936 (seed = 43351) ...
  1/200   risk = 0.083  time = 0   
  5/200   risk = 0.064  time = 2358   
 10/200   risk = 0.048  time = 5225   
 15/200   risk = 0.038  time = 8173   
 20/200   risk = 0.032  time = 11045   
 25/200   risk = 0.028  time = 13889   
 30/200   risk = 0.025  time = 16763   
 35/200   risk = 0.024  time = 19701   
 40/200   risk = 0.022  time = 22599   
 45/200   risk = 0.022  time = 25538   
 50/200   risk = 0.021  time = 28540   
 55/200   risk = 0.021  time = 31484   
 60/200   risk = 0.021  time = 34424   
 65/200   risk = 0.021  time = 37426   
 70/200   risk = 0.02  time = 40466   
 75/200   risk = 0.02  time = 43467   
 80/200   risk = 0.02  time = 46430   
 85/200   risk = 0.02  time = 49354   
 90/200   risk = 0.02  time = 52272   
 95/200   risk = 0.02  time = 55173   
100/200   risk = 0.02  time = 58086   
105/200   risk = 0.02  time = 61088   
110/200   risk = 0.02  time = 64160   
115/200   risk = 0.02  time = 67353   
120/200   risk = 0.02  time = 70393   
125/200   risk = 0.02  time = 73479   
130/200   risk = 0.02  time = 76578   
135/200   risk = 0.02  time = 79948   
140/200   risk = 0.02  time = 83099   
145/200   risk = 0.02  time = 86233   
150/200   risk = 0.02  time = 89325   
155/200   risk = 0.02  time = 92457   
160/200   risk = 0.02  time = 95540   
165/200   risk = 0.02  time = 98609   
170/200   risk = 0.02  time = 101645   
175/200   risk = 0.02  time = 104686   
180/200   risk = 0.02  time = 107701   
185/200   risk = 0.02  time = 110693   
190/200   risk = 0.02  time = 113670   
195/200   risk = 0.02  time = 116690   
200/200   risk = 0.02  time = 119560   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11936]
### [bt]: Calculation finished!
