### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9752]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9752 (seed = 41167) ...
  1/200   risk = 0.097  time = 0   
  5/200   risk = 0.074  time = 252   
 10/200   risk = 0.055  time = 434   
 15/200   risk = 0.043  time = 611   
 20/200   risk = 0.035  time = 772   
 25/200   risk = 0.03  time = 931   
 30/200   risk = 0.027  time = 1091   
 35/200   risk = 0.025  time = 1244   
 40/200   risk = 0.024  time = 1417   
 45/200   risk = 0.023  time = 1577   
 50/200   risk = 0.022  time = 1735   
 55/200   risk = 0.022  time = 1886   
 60/200   risk = 0.021  time = 2032   
 65/200   risk = 0.021  time = 2179   
 70/200   risk = 0.021  time = 2328   
 75/200   risk = 0.021  time = 2479   
 80/200   risk = 0.021  time = 2628   
 85/200   risk = 0.021  time = 2779   
 90/200   risk = 0.021  time = 2934   
 95/200   risk = 0.021  time = 3125   
100/200   risk = 0.021  time = 3355   
105/200   risk = 0.021  time = 3568   
110/200   risk = 0.021  time = 3741   
115/200   risk = 0.021  time = 3910   
120/200   risk = 0.021  time = 4079   
125/200   risk = 0.021  time = 4249   
130/200   risk = 0.021  time = 4432   
135/200   risk = 0.021  time = 4599   
140/200   risk = 0.021  time = 4766   
145/200   risk = 0.021  time = 4940   
150/200   risk = 0.021  time = 5110   
155/200   risk = 0.021  time = 5287   
160/200   risk = 0.021  time = 5461   
165/200   risk = 0.021  time = 5632   
170/200   risk = 0.02  time = 5806   
175/200   risk = 0.02  time = 5962   
180/200   risk = 0.02  time = 6144   
185/200   risk = 0.02  time = 6293   
190/200   risk = 0.02  time = 6491   
195/200   risk = 0.02  time = 6670   
200/200   risk = 0.02  time = 6809   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=9752]
### [bt]: Calculation finished!
