### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9243]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9243 (seed = 40658) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.093  time = 228   
 10/200   risk = 0.068  time = 474   
 15/200   risk = 0.052  time = 672   
 20/200   risk = 0.042  time = 869   
 25/200   risk = 0.036  time = 1062   
 30/200   risk = 0.032  time = 1260   
 35/200   risk = 0.03  time = 1458   
 40/200   risk = 0.028  time = 1659   
 45/200   risk = 0.027  time = 1856   
 50/200   risk = 0.026  time = 2064   
 55/200   risk = 0.026  time = 2267   
 60/200   risk = 0.025  time = 2490   
 65/200   risk = 0.025  time = 2707   
 70/200   risk = 0.024  time = 2914   
 75/200   risk = 0.024  time = 3122   
 80/200   risk = 0.024  time = 3331   
 85/200   risk = 0.024  time = 3539   
 90/200   risk = 0.024  time = 3841   
 95/200   risk = 0.023  time = 4098   
100/200   risk = 0.023  time = 4314   
105/200   risk = 0.023  time = 4534   
110/200   risk = 0.023  time = 4739   
115/200   risk = 0.023  time = 4949   
120/200   risk = 0.023  time = 5155   
125/200   risk = 0.023  time = 5367   
130/200   risk = 0.023  time = 5601   
135/200   risk = 0.023  time = 5818   
140/200   risk = 0.023  time = 6038   
145/200   risk = 0.022  time = 6268   
150/200   risk = 0.022  time = 6519   
155/200   risk = 0.022  time = 6743   
160/200   risk = 0.022  time = 6980   
165/200   risk = 0.022  time = 7207   
170/200   risk = 0.022  time = 7430   
175/200   risk = 0.022  time = 7655   
180/200   risk = 0.022  time = 7880   
185/200   risk = 0.022  time = 8107   
190/200   risk = 0.022  time = 8340   
195/200   risk = 0.022  time = 8571   
200/200   risk = 0.022  time = 8801   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=9243]
### [bt]: Calculation finished!
