### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7278]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7278 (seed = 38693) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.15  time = 205   
 10/200   risk = 0.1  time = 295   
 15/200   risk = 0.076  time = 361   
 20/200   risk = 0.059  time = 424   
 25/200   risk = 0.048  time = 483   
 30/200   risk = 0.041  time = 544   
 35/200   risk = 0.036  time = 605   
 40/200   risk = 0.033  time = 675   
 45/200   risk = 0.031  time = 743   
 50/200   risk = 0.029  time = 817   
 55/200   risk = 0.028  time = 886   
 60/200   risk = 0.028  time = 954   
 65/200   risk = 0.027  time = 1028   
 70/200   risk = 0.027  time = 1100   
 75/200   risk = 0.026  time = 1180   
 80/200   risk = 0.026  time = 1250   
 85/200   risk = 0.026  time = 1320   
 90/200   risk = 0.026  time = 1390   
 95/200   risk = 0.025  time = 1465   
100/200   risk = 0.025  time = 1537   
105/200   risk = 0.025  time = 1614   
110/200   risk = 0.025  time = 1689   
115/200   risk = 0.025  time = 1781   
120/200   risk = 0.025  time = 1859   
125/200   risk = 0.025  time = 1941   
130/200   risk = 0.025  time = 2026   
135/200   risk = 0.025  time = 2111   
140/200   risk = 0.025  time = 2202   
145/200   risk = 0.025  time = 2286   
150/200   risk = 0.025  time = 2368   
155/200   risk = 0.024  time = 2452   
160/200   risk = 0.024  time = 2536   
165/200   risk = 0.024  time = 2623   
170/200   risk = 0.024  time = 2708   
175/200   risk = 0.024  time = 2811   
180/200   risk = 0.024  time = 2898   
185/200   risk = 0.024  time = 2988   
190/200   risk = 0.024  time = 3075   
195/200   risk = 0.024  time = 3175   
200/200   risk = 0.024  time = 3304   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.024


### [bt]: Job terminated successfully [batchtools job.id=7278]
### [bt]: Calculation finished!
