### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=355]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 355 (seed = 31770) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.21  time = 3675   
 10/200   risk = 0.16  time = 7372   
 15/200   risk = 0.12  time = 15603   
 20/200   risk = 0.1  time = 18820   
 25/200   risk = 0.084  time = 21654   
 30/200   risk = 0.072  time = 24490   
 35/200   risk = 0.064  time = 27321   
 40/200   risk = 0.058  time = 30111   
 45/200   risk = 0.054  time = 36042   
 50/200   risk = 0.05  time = 39035   
 55/200   risk = 0.048  time = 41925   
 60/200   risk = 0.046  time = 44701   
 65/200   risk = 0.044  time = 47492   
 70/200   risk = 0.043  time = 50496   
 75/200   risk = 0.042  time = 53390   
 80/200   risk = 0.041  time = 56282   
 85/200   risk = 0.04  time = 59057   
 90/200   risk = 0.039  time = 61790   
 95/200   risk = 0.039  time = 64562   
100/200   risk = 0.038  time = 67590   
105/200   risk = 0.038  time = 70613   
110/200   risk = 0.037  time = 73626   
115/200   risk = 0.037  time = 76488   
120/200   risk = 0.037  time = 79545   
125/200   risk = 0.036  time = 82599   
130/200   risk = 0.036  time = 85612   
135/200   risk = 0.036  time = 88511   
140/200   risk = 0.035  time = 91480   
145/200   risk = 0.035  time = 95139   
150/200   risk = 0.035  time = 98081   
155/200   risk = 0.035  time = 101178   
160/200   risk = 0.035  time = 104228   
165/200   risk = 0.034  time = 107295   
170/200   risk = 0.034  time = 110136   
175/200   risk = 0.034  time = 113012   
180/200   risk = 0.034  time = 116146   
185/200   risk = 0.034  time = 119489   
190/200   risk = 0.034  time = 122453   
195/200   risk = 0.033  time = 125438   
200/200   risk = 0.033  time = 128262   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.033


### [bt]: Job terminated successfully [batchtools job.id=355]
### [bt]: Calculation finished!
