### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1496]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1496 (seed = 32911) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 520   
 10/200   risk = 0.18  time = 1065   
 15/200   risk = 0.15  time = 1537   
 20/200   risk = 0.13  time = 2008   
 25/200   risk = 0.11  time = 2484   
 30/200   risk = 0.099  time = 2978   
 35/200   risk = 0.09  time = 3477   
 40/200   risk = 0.083  time = 4001   
 45/200   risk = 0.078  time = 4509   
 50/200   risk = 0.074  time = 5021   
 55/200   risk = 0.071  time = 5553   
 60/200   risk = 0.068  time = 6064   
 65/200   risk = 0.066  time = 6588   
 70/200   risk = 0.064  time = 7108   
 75/200   risk = 0.062  time = 7650   
 80/200   risk = 0.061  time = 8195   
 85/200   risk = 0.059  time = 8711   
 90/200   risk = 0.058  time = 9192   
 95/200   risk = 0.057  time = 9691   
100/200   risk = 0.056  time = 10206   
105/200   risk = 0.056  time = 10729   
110/200   risk = 0.055  time = 11233   
115/200   risk = 0.054  time = 11738   
120/200   risk = 0.054  time = 12254   
125/200   risk = 0.053  time = 12788   
130/200   risk = 0.053  time = 13307   
135/200   risk = 0.052  time = 13841   
140/200   risk = 0.052  time = 14390   
145/200   risk = 0.051  time = 14933   
150/200   risk = 0.051  time = 15471   
155/200   risk = 0.05  time = 15997   
160/200   risk = 0.05  time = 16563   
165/200   risk = 0.05  time = 17134   
170/200   risk = 0.049  time = 17720   
175/200   risk = 0.049  time = 18284   
180/200   risk = 0.049  time = 18835   
185/200   risk = 0.049  time = 19399   
190/200   risk = 0.048  time = 19952   
195/200   risk = 0.048  time = 20513   
200/200   risk = 0.048  time = 21096   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.048


### [bt]: Job terminated successfully [batchtools job.id=1496]
### [bt]: Calculation finished!
