### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=978]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 978 (seed = 32393) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.21  time = 276   
 10/200   risk = 0.16  time = 449   
 15/200   risk = 0.13  time = 586   
 20/200   risk = 0.11  time = 730   
 25/200   risk = 0.1  time = 846   
 30/200   risk = 0.095  time = 987   
 35/200   risk = 0.091  time = 1128   
 40/200   risk = 0.089  time = 1267   
 45/200   risk = 0.087  time = 1407   
 50/200   risk = 0.086  time = 1561   
 55/200   risk = 0.086  time = 1708   
 60/200   risk = 0.086  time = 1854   
 65/200   risk = 0.085  time = 2011   
 70/200   risk = 0.085  time = 2158   
 75/200   risk = 0.085  time = 2304   
 80/200   risk = 0.085  time = 2456   
 85/200   risk = 0.085  time = 2607   
 90/200   risk = 0.085  time = 2738   
 95/200   risk = 0.085  time = 2894   
100/200   risk = 0.085  time = 3050   
105/200   risk = 0.085  time = 3205   
110/200   risk = 0.085  time = 3361   
115/200   risk = 0.085  time = 3517   
120/200   risk = 0.085  time = 3675   
125/200   risk = 0.085  time = 3834   
130/200   risk = 0.085  time = 3996   
135/200   risk = 0.085  time = 4159   
140/200   risk = 0.085  time = 4329   
145/200   risk = 0.085  time = 4487   
150/200   risk = 0.085  time = 4645   
155/200   risk = 0.085  time = 4809   
160/200   risk = 0.085  time = 4970   
165/200   risk = 0.085  time = 5135   
170/200   risk = 0.085  time = 5296   
175/200   risk = 0.085  time = 5462   
180/200   risk = 0.085  time = 5630   
185/200   risk = 0.085  time = 5799   
190/200   risk = 0.085  time = 5968   
195/200   risk = 0.085  time = 6141   
200/200   risk = 0.085  time = 6312   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.085


### [bt]: Job terminated successfully [batchtools job.id=978]
### [bt]: Calculation finished!
