### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5339]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5339 (seed = 36754) ...
  1/200   risk = 0.084  time = 0   
  5/200   risk = 0.065  time = 386   
 10/200   risk = 0.049  time = 773   
 15/200   risk = 0.039  time = 1133   
 20/200   risk = 0.033  time = 1493   
 25/200   risk = 0.029  time = 1912   
 30/200   risk = 0.026  time = 2300   
 35/200   risk = 0.024  time = 2679   
 40/200   risk = 0.023  time = 3068   
 45/200   risk = 0.022  time = 3437   
 50/200   risk = 0.022  time = 3823   
 55/200   risk = 0.021  time = 4210   
 60/200   risk = 0.021  time = 4593   
 65/200   risk = 0.021  time = 5079   
 70/200   risk = 0.021  time = 5533   
 75/200   risk = 0.02  time = 5907   
 80/200   risk = 0.02  time = 6277   
 85/200   risk = 0.02  time = 6647   
 90/200   risk = 0.02  time = 7017   
 95/200   risk = 0.02  time = 7395   
100/200   risk = 0.02  time = 7789   
105/200   risk = 0.02  time = 8224   
110/200   risk = 0.02  time = 8648   
115/200   risk = 0.02  time = 9063   
120/200   risk = 0.02  time = 9455   
125/200   risk = 0.02  time = 9855   
130/200   risk = 0.02  time = 10240   
135/200   risk = 0.02  time = 10624   
140/200   risk = 0.02  time = 11005   
145/200   risk = 0.02  time = 11386   
150/200   risk = 0.02  time = 11815   
155/200   risk = 0.02  time = 12220   
160/200   risk = 0.02  time = 12619   
165/200   risk = 0.02  time = 13019   
170/200   risk = 0.02  time = 13426   
175/200   risk = 0.02  time = 13904   
180/200   risk = 0.02  time = 14574   
185/200   risk = 0.02  time = 15267   
190/200   risk = 0.02  time = 15959   
195/200   risk = 0.02  time = 16651   
200/200   risk = 0.02  time = 17349   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=5339]
### [bt]: Calculation finished!
