### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12585]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12585 (seed = 44000) ...
  1/200   risk = 0.24  time = 0   
  5/200   risk = 0.17  time = 162   
 10/200   risk = 0.11  time = 258   
 15/200   risk = 0.076  time = 370   
 20/200   risk = 0.055  time = 485   
 25/200   risk = 0.042  time = 585   
 30/200   risk = 0.033  time = 693   
 35/200   risk = 0.028  time = 797   
 40/200   risk = 0.025  time = 897   
 45/200   risk = 0.024  time = 997   
 50/200   risk = 0.022  time = 1084   
 55/200   risk = 0.022  time = 1205   
 60/200   risk = 0.021  time = 1320   
 65/200   risk = 0.021  time = 1416   
 70/200   risk = 0.021  time = 1532   
 75/200   risk = 0.02  time = 1623   
 80/200   risk = 0.02  time = 1714   
 85/200   risk = 0.02  time = 1811   
 90/200   risk = 0.02  time = 1903   
 95/200   risk = 0.02  time = 1997   
100/200   risk = 0.02  time = 2092   
105/200   risk = 0.02  time = 2186   
110/200   risk = 0.02  time = 2281   
115/200   risk = 0.02  time = 2378   
120/200   risk = 0.02  time = 2475   
125/200   risk = 0.02  time = 2573   
130/200   risk = 0.02  time = 2675   
135/200   risk = 0.02  time = 2786   
140/200   risk = 0.02  time = 2892   
145/200   risk = 0.02  time = 2993   
150/200   risk = 0.02  time = 3094   
155/200   risk = 0.02  time = 3196   
160/200   risk = 0.02  time = 3333   
165/200   risk = 0.02  time = 3453   
170/200   risk = 0.02  time = 3586   
175/200   risk = 0.02  time = 3703   
180/200   risk = 0.02  time = 3811   
185/200   risk = 0.02  time = 3916   
190/200   risk = 0.02  time = 4022   
195/200   risk = 0.02  time = 4130   
200/200   risk = 0.02  time = 4237   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=12585]
### [bt]: Calculation finished!
