### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12500]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12500 (seed = 43915) ...
  1/200   risk = 0.26  time = 0   
  5/200   risk = 0.18  time = 119   
 10/200   risk = 0.12  time = 192   
 15/200   risk = 0.079  time = 248   
 20/200   risk = 0.057  time = 304   
 25/200   risk = 0.043  time = 360   
 30/200   risk = 0.034  time = 418   
 35/200   risk = 0.029  time = 476   
 40/200   risk = 0.026  time = 538   
 45/200   risk = 0.024  time = 597   
 50/200   risk = 0.023  time = 659   
 55/200   risk = 0.022  time = 720   
 60/200   risk = 0.022  time = 786   
 65/200   risk = 0.021  time = 860   
 70/200   risk = 0.021  time = 930   
 75/200   risk = 0.021  time = 994   
 80/200   risk = 0.021  time = 1062   
 85/200   risk = 0.021  time = 1128   
 90/200   risk = 0.021  time = 1194   
 95/200   risk = 0.021  time = 1269   
100/200   risk = 0.021  time = 1337   
105/200   risk = 0.021  time = 1404   
110/200   risk = 0.021  time = 1472   
115/200   risk = 0.021  time = 1544   
120/200   risk = 0.021  time = 1620   
125/200   risk = 0.021  time = 1691   
130/200   risk = 0.021  time = 1775   
135/200   risk = 0.021  time = 1848   
140/200   risk = 0.021  time = 1918   
145/200   risk = 0.021  time = 1994   
150/200   risk = 0.021  time = 2069   
155/200   risk = 0.021  time = 2269   
160/200   risk = 0.021  time = 2403   
165/200   risk = 0.021  time = 2522   
170/200   risk = 0.021  time = 2640   
175/200   risk = 0.021  time = 2762   
180/200   risk = 0.021  time = 2880   
185/200   risk = 0.021  time = 3017   
190/200   risk = 0.021  time = 3141   
195/200   risk = 0.021  time = 3261   
200/200   risk = 0.021  time = 3386   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=12500]
### [bt]: Calculation finished!
