### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7761]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7761 (seed = 39176) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 749   
 10/200   risk = 0.089  time = 962   
 15/200   risk = 0.066  time = 1120   
 20/200   risk = 0.051  time = 1274   
 25/200   risk = 0.042  time = 1435   
 30/200   risk = 0.036  time = 1596   
 35/200   risk = 0.032  time = 1757   
 40/200   risk = 0.029  time = 1931   
 45/200   risk = 0.027  time = 2132   
 50/200   risk = 0.026  time = 2312   
 55/200   risk = 0.025  time = 2500   
 60/200   risk = 0.025  time = 2666   
 65/200   risk = 0.024  time = 2844   
 70/200   risk = 0.024  time = 3006   
 75/200   risk = 0.024  time = 3136   
 80/200   risk = 0.023  time = 3251   
 85/200   risk = 0.023  time = 3359   
 90/200   risk = 0.023  time = 3630   
 95/200   risk = 0.023  time = 3749   
100/200   risk = 0.023  time = 3860   
105/200   risk = 0.023  time = 3988   
110/200   risk = 0.023  time = 4146   
115/200   risk = 0.023  time = 4274   
120/200   risk = 0.023  time = 4391   
125/200   risk = 0.023  time = 4507   
130/200   risk = 0.023  time = 4629   
135/200   risk = 0.023  time = 4750   
140/200   risk = 0.023  time = 4869   
145/200   risk = 0.023  time = 4989   
150/200   risk = 0.023  time = 5110   
155/200   risk = 0.023  time = 5234   
160/200   risk = 0.023  time = 5358   
165/200   risk = 0.023  time = 5494   
170/200   risk = 0.023  time = 5621   
175/200   risk = 0.023  time = 5748   
180/200   risk = 0.023  time = 5876   
185/200   risk = 0.023  time = 6021   
190/200   risk = 0.023  time = 6198   
195/200   risk = 0.023  time = 6395   
200/200   risk = 0.023  time = 6580   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=7761]
### [bt]: Calculation finished!
