### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5908]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5908 (seed = 37323) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.2  time = 2717   
 10/200   risk = 0.14  time = 6083   
 15/200   risk = 0.097  time = 9197   
 20/200   risk = 0.072  time = 12467   
 25/200   risk = 0.056  time = 15620   
 30/200   risk = 0.045  time = 18834   
 35/200   risk = 0.038  time = 21965   
 40/200   risk = 0.033  time = 25032   
 45/200   risk = 0.03  time = 28336   
 50/200   risk = 0.028  time = 31505   
 55/200   risk = 0.026  time = 34834   
 60/200   risk = 0.025  time = 37985   
 65/200   risk = 0.024  time = 41334   
 70/200   risk = 0.024  time = 44553   
 75/200   risk = 0.023  time = 48034   
 80/200   risk = 0.023  time = 51258   
 85/200   risk = 0.023  time = 54636   
 90/200   risk = 0.022  time = 57959   
 95/200   risk = 0.022  time = 61242   
100/200   risk = 0.022  time = 64455   
105/200   risk = 0.022  time = 67775   
110/200   risk = 0.022  time = 71041   
115/200   risk = 0.022  time = 74428   
120/200   risk = 0.022  time = 77692   
125/200   risk = 0.022  time = 81195   
130/200   risk = 0.022  time = 84453   
135/200   risk = 0.022  time = 87817   
140/200   risk = 0.022  time = 91057   
145/200   risk = 0.022  time = 94282   
150/200   risk = 0.022  time = 97600   
155/200   risk = 0.021  time = 101080   
160/200   risk = 0.021  time = 104387   
165/200   risk = 0.021  time = 107927   
170/200   risk = 0.021  time = 111353   
175/200   risk = 0.021  time = 114996   
180/200   risk = 0.021  time = 118447   
185/200   risk = 0.021  time = 121986   
190/200   risk = 0.021  time = 125991   
195/200   risk = 0.021  time = 131821   
200/200   risk = 0.021  time = 137337   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=5908]
### [bt]: Calculation finished!
