### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10467]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10467 (seed = 41882) ...
  1/200   risk = 0.22  time = 0   
  5/200   risk = 0.16  time = 175   
 10/200   risk = 0.11  time = 280   
 15/200   risk = 0.075  time = 379   
 20/200   risk = 0.056  time = 476   
 25/200   risk = 0.043  time = 573   
 30/200   risk = 0.036  time = 671   
 35/200   risk = 0.031  time = 771   
 40/200   risk = 0.028  time = 878   
 45/200   risk = 0.026  time = 979   
 50/200   risk = 0.025  time = 1093   
 55/200   risk = 0.024  time = 1212   
 60/200   risk = 0.024  time = 1330   
 65/200   risk = 0.023  time = 1445   
 70/200   risk = 0.023  time = 1569   
 75/200   risk = 0.023  time = 1671   
 80/200   risk = 0.023  time = 1774   
 85/200   risk = 0.022  time = 1882   
 90/200   risk = 0.022  time = 1990   
 95/200   risk = 0.022  time = 2094   
100/200   risk = 0.022  time = 2203   
105/200   risk = 0.022  time = 2324   
110/200   risk = 0.022  time = 2434   
115/200   risk = 0.022  time = 2570   
120/200   risk = 0.022  time = 2690   
125/200   risk = 0.022  time = 2817   
130/200   risk = 0.022  time = 2941   
135/200   risk = 0.021  time = 3071   
140/200   risk = 0.021  time = 3206   
145/200   risk = 0.021  time = 3330   
150/200   risk = 0.021  time = 3451   
155/200   risk = 0.021  time = 3595   
160/200   risk = 0.021  time = 3725   
165/200   risk = 0.021  time = 3851   
170/200   risk = 0.021  time = 3983   
175/200   risk = 0.021  time = 4112   
180/200   risk = 0.021  time = 4242   
185/200   risk = 0.021  time = 4368   
190/200   risk = 0.021  time = 4516   
195/200   risk = 0.021  time = 4652   
200/200   risk = 0.021  time = 4793   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=10467]
### [bt]: Calculation finished!
