### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5332]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5332 (seed = 36747) ...
  1/200   risk = 0.077  time = 0   
  5/200   risk = 0.06  time = 631   
 10/200   risk = 0.047  time = 1238   
 15/200   risk = 0.038  time = 1834   
 20/200   risk = 0.033  time = 2415   
 25/200   risk = 0.029  time = 3076   
 30/200   risk = 0.027  time = 3693   
 35/200   risk = 0.025  time = 4306   
 40/200   risk = 0.024  time = 4924   
 45/200   risk = 0.023  time = 5538   
 50/200   risk = 0.023  time = 6172   
 55/200   risk = 0.022  time = 6805   
 60/200   risk = 0.022  time = 7435   
 65/200   risk = 0.022  time = 8059   
 70/200   risk = 0.021  time = 8671   
 75/200   risk = 0.021  time = 9291   
 80/200   risk = 0.021  time = 9930   
 85/200   risk = 0.021  time = 10549   
 90/200   risk = 0.021  time = 11172   
 95/200   risk = 0.021  time = 11790   
100/200   risk = 0.021  time = 12434   
105/200   risk = 0.021  time = 13067   
110/200   risk = 0.021  time = 13690   
115/200   risk = 0.021  time = 14299   
120/200   risk = 0.021  time = 14897   
125/200   risk = 0.021  time = 15548   
130/200   risk = 0.021  time = 16225   
135/200   risk = 0.021  time = 16874   
140/200   risk = 0.021  time = 17575   
145/200   risk = 0.021  time = 18249   
150/200   risk = 0.021  time = 18940   
155/200   risk = 0.02  time = 19498   
160/200   risk = 0.02  time = 19904   
165/200   risk = 0.02  time = 20308   
170/200   risk = 0.02  time = 20716   
175/200   risk = 0.02  time = 21111   
180/200   risk = 0.02  time = 21494   
185/200   risk = 0.02  time = 21877   
190/200   risk = 0.02  time = 22262   
195/200   risk = 0.02  time = 22698   
200/200   risk = 0.02  time = 23127   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=5332]
### [bt]: Calculation finished!
