### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10304]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10304 (seed = 41719) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.19  time = 2779   
 10/200   risk = 0.13  time = 5815   
 15/200   risk = 0.087  time = 8908   
 20/200   risk = 0.062  time = 12053   
 25/200   risk = 0.047  time = 15260   
 30/200   risk = 0.038  time = 18575   
 35/200   risk = 0.032  time = 21830   
 40/200   risk = 0.028  time = 25176   
 45/200   risk = 0.026  time = 28444   
 50/200   risk = 0.024  time = 31766   
 55/200   risk = 0.023  time = 34989   
 60/200   risk = 0.023  time = 38152   
 65/200   risk = 0.022  time = 41421   
 70/200   risk = 0.022  time = 44670   
 75/200   risk = 0.022  time = 47850   
 80/200   risk = 0.022  time = 51103   
 85/200   risk = 0.021  time = 54229   
 90/200   risk = 0.021  time = 57356   
 95/200   risk = 0.021  time = 60589   
100/200   risk = 0.021  time = 63843   
105/200   risk = 0.021  time = 66883   
110/200   risk = 0.021  time = 69921   
115/200   risk = 0.021  time = 73032   
120/200   risk = 0.021  time = 76221   
125/200   risk = 0.021  time = 79389   
130/200   risk = 0.021  time = 82583   
135/200   risk = 0.021  time = 85821   
140/200   risk = 0.021  time = 88997   
145/200   risk = 0.021  time = 92164   
150/200   risk = 0.021  time = 95292   
155/200   risk = 0.021  time = 98343   
160/200   risk = 0.021  time = 101382   
165/200   risk = 0.021  time = 104441   
170/200   risk = 0.021  time = 107661   
175/200   risk = 0.021  time = 110821   
180/200   risk = 0.021  time = 113991   
185/200   risk = 0.021  time = 117059   
190/200   risk = 0.021  time = 120116   
195/200   risk = 0.021  time = 124324   
200/200   risk = 0.021  time = 129318   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=10304]
### [bt]: Calculation finished!
