### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9684]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9684 (seed = 41099) ...
  1/200   risk = 0.11  time = 0   
  5/200   risk = 0.081  time = 142   
 10/200   risk = 0.059  time = 216   
 15/200   risk = 0.045  time = 287   
 20/200   risk = 0.036  time = 360   
 25/200   risk = 0.031  time = 434   
 30/200   risk = 0.027  time = 505   
 35/200   risk = 0.025  time = 576   
 40/200   risk = 0.024  time = 654   
 45/200   risk = 0.023  time = 733   
 50/200   risk = 0.022  time = 812   
 55/200   risk = 0.022  time = 892   
 60/200   risk = 0.021  time = 974   
 65/200   risk = 0.021  time = 1058   
 70/200   risk = 0.021  time = 1137   
 75/200   risk = 0.021  time = 1220   
 80/200   risk = 0.021  time = 1305   
 85/200   risk = 0.021  time = 1400   
 90/200   risk = 0.021  time = 1483   
 95/200   risk = 0.021  time = 1574   
100/200   risk = 0.02  time = 1661   
105/200   risk = 0.02  time = 1755   
110/200   risk = 0.02  time = 1843   
115/200   risk = 0.02  time = 1931   
120/200   risk = 0.02  time = 2102   
125/200   risk = 0.02  time = 2226   
130/200   risk = 0.02  time = 2362   
135/200   risk = 0.02  time = 2498   
140/200   risk = 0.02  time = 2590   
145/200   risk = 0.02  time = 2682   
150/200   risk = 0.02  time = 2772   
155/200   risk = 0.02  time = 2864   
160/200   risk = 0.02  time = 2957   
165/200   risk = 0.02  time = 3050   
170/200   risk = 0.02  time = 3149   
175/200   risk = 0.02  time = 3246   
180/200   risk = 0.02  time = 3342   
185/200   risk = 0.02  time = 3440   
190/200   risk = 0.02  time = 3539   
195/200   risk = 0.02  time = 3638   
200/200   risk = 0.02  time = 3739   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=9684]
### [bt]: Calculation finished!
