### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9442]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9442 (seed = 40857) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.087  time = 1267   
 10/200   risk = 0.064  time = 2792   
 15/200   risk = 0.049  time = 4350   
 20/200   risk = 0.04  time = 5910   
 25/200   risk = 0.034  time = 7463   
 30/200   risk = 0.03  time = 9047   
 35/200   risk = 0.028  time = 10630   
 40/200   risk = 0.026  time = 12212   
 45/200   risk = 0.025  time = 13780   
 50/200   risk = 0.024  time = 15371   
 55/200   risk = 0.024  time = 16993   
 60/200   risk = 0.023  time = 18661   
 65/200   risk = 0.023  time = 20261   
 70/200   risk = 0.023  time = 21839   
 75/200   risk = 0.023  time = 23415   
 80/200   risk = 0.022  time = 25140   
 85/200   risk = 0.022  time = 26834   
 90/200   risk = 0.022  time = 28418   
 95/200   risk = 0.022  time = 30014   
100/200   risk = 0.022  time = 31610   
105/200   risk = 0.022  time = 33199   
110/200   risk = 0.022  time = 34780   
115/200   risk = 0.021  time = 36369   
120/200   risk = 0.021  time = 37952   
125/200   risk = 0.021  time = 39546   
130/200   risk = 0.021  time = 41149   
135/200   risk = 0.021  time = 42741   
140/200   risk = 0.021  time = 44338   
145/200   risk = 0.021  time = 45873   
150/200   risk = 0.021  time = 47418   
155/200   risk = 0.021  time = 48956   
160/200   risk = 0.021  time = 50493   
165/200   risk = 0.021  time = 52034   
170/200   risk = 0.021  time = 53576   
175/200   risk = 0.021  time = 55119   
180/200   risk = 0.021  time = 56666   
185/200   risk = 0.021  time = 58212   
190/200   risk = 0.021  time = 59759   
195/200   risk = 0.02  time = 61422   
200/200   risk = 0.02  time = 63028   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=9442]
### [bt]: Calculation finished!
