### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9194]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9194 (seed = 40609) ...
  1/200   risk = 0.1  time = 0   
  5/200   risk = 0.079  time = 2386   
 10/200   risk = 0.059  time = 4162   
 15/200   risk = 0.046  time = 5831   
 20/200   risk = 0.038  time = 7510   
 25/200   risk = 0.032  time = 14286   
 30/200   risk = 0.029  time = 16032   
 35/200   risk = 0.027  time = 28186   
 40/200   risk = 0.025  time = 38871   
 45/200   risk = 0.024  time = 43164   
 50/200   risk = 0.024  time = 49216   
 55/200   risk = 0.023  time = 51927   
 60/200   risk = 0.023  time = 63501   
 65/200   risk = 0.023  time = 67038   
 70/200   risk = 0.022  time = 69326   
 75/200   risk = 0.022  time = 76657   
 80/200   risk = 0.022  time = 88181   
 85/200   risk = 0.022  time = 94854   
 90/200   risk = 0.022  time = 97213   
 95/200   risk = 0.022  time = 101987   
100/200   risk = 0.022  time = 109516   
105/200   risk = 0.022  time = 116182   
110/200   risk = 0.022  time = 118497   
115/200   risk = 0.022  time = 228227   
120/200   risk = 0.022  time = 301495   
125/200   risk = 0.022  time = 318388   
130/200   risk = 0.021  time = 375441   
135/200   risk = 0.021  time = 380566   
140/200   risk = 0.021  time = 386884   
145/200   risk = 0.021  time = 389657   
150/200   risk = 0.021  time = 393119   
155/200   risk = 0.021  time = 401081   
160/200   risk = 0.021  time = 424328   
165/200   risk = 0.021  time = 428720   
170/200   risk = 0.021  time = 431927   
175/200   risk = 0.021  time = 436363   
180/200   risk = 0.021  time = 439959   
185/200   risk = 0.021  time = 443715   
190/200   risk = 0.021  time = 447439   
195/200   risk = 0.021  time = 450935   
200/200   risk = 0.021  time = 454273   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=9194]
### [bt]: Calculation finished!
