### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7612]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7612 (seed = 39027) ...
  1/200   risk = 0.18  time = 0   
  5/200   risk = 0.13  time = 263   
 10/200   risk = 0.09  time = 441   
 15/200   risk = 0.066  time = 613   
 20/200   risk = 0.05  time = 787   
 25/200   risk = 0.04  time = 1000   
 30/200   risk = 0.033  time = 1205   
 35/200   risk = 0.029  time = 1420   
 40/200   risk = 0.026  time = 1597   
 45/200   risk = 0.024  time = 1771   
 50/200   risk = 0.023  time = 1952   
 55/200   risk = 0.022  time = 2146   
 60/200   risk = 0.022  time = 2371   
 65/200   risk = 0.021  time = 2589   
 70/200   risk = 0.021  time = 2796   
 75/200   risk = 0.021  time = 2981   
 80/200   risk = 0.02  time = 3160   
 85/200   risk = 0.02  time = 3344   
 90/200   risk = 0.02  time = 3523   
 95/200   risk = 0.02  time = 3706   
100/200   risk = 0.02  time = 3893   
105/200   risk = 0.02  time = 4077   
110/200   risk = 0.02  time = 4264   
115/200   risk = 0.02  time = 4454   
120/200   risk = 0.02  time = 4640   
125/200   risk = 0.02  time = 4825   
130/200   risk = 0.02  time = 5013   
135/200   risk = 0.02  time = 5211   
140/200   risk = 0.02  time = 5394   
145/200   risk = 0.02  time = 5590   
150/200   risk = 0.02  time = 5777   
155/200   risk = 0.02  time = 5962   
160/200   risk = 0.02  time = 6147   
165/200   risk = 0.02  time = 6332   
170/200   risk = 0.02  time = 6520   
175/200   risk = 0.02  time = 6707   
180/200   risk = 0.02  time = 6897   
185/200   risk = 0.02  time = 7086   
190/200   risk = 0.02  time = 7291   
195/200   risk = 0.02  time = 7490   
200/200   risk = 0.02  time = 7690   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7612]
### [bt]: Calculation finished!
