### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11468]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11468 (seed = 42883) ...
  1/200   risk = 0.075  time = 0   
  5/200   risk = 0.059  time = 714   
 10/200   risk = 0.046  time = 1213   
 15/200   risk = 0.038  time = 1600   
 20/200   risk = 0.033  time = 1986   
 25/200   risk = 0.029  time = 2369   
 30/200   risk = 0.027  time = 2765   
 35/200   risk = 0.025  time = 3163   
 40/200   risk = 0.024  time = 3563   
 45/200   risk = 0.023  time = 3956   
 50/200   risk = 0.023  time = 4354   
 55/200   risk = 0.023  time = 4752   
 60/200   risk = 0.022  time = 5153   
 65/200   risk = 0.022  time = 5562   
 70/200   risk = 0.022  time = 5960   
 75/200   risk = 0.022  time = 6345   
 80/200   risk = 0.022  time = 6737   
 85/200   risk = 0.022  time = 7136   
 90/200   risk = 0.022  time = 7539   
 95/200   risk = 0.022  time = 7939   
100/200   risk = 0.022  time = 8354   
105/200   risk = 0.021  time = 8747   
110/200   risk = 0.021  time = 9155   
115/200   risk = 0.021  time = 9572   
120/200   risk = 0.021  time = 9954   
125/200   risk = 0.021  time = 10341   
130/200   risk = 0.021  time = 10746   
135/200   risk = 0.021  time = 11148   
140/200   risk = 0.021  time = 11568   
145/200   risk = 0.021  time = 11961   
150/200   risk = 0.021  time = 12343   
155/200   risk = 0.021  time = 12757   
160/200   risk = 0.021  time = 13158   
165/200   risk = 0.021  time = 13527   
170/200   risk = 0.021  time = 13946   
175/200   risk = 0.021  time = 14386   
180/200   risk = 0.021  time = 14782   
185/200   risk = 0.021  time = 15163   
190/200   risk = 0.021  time = 15556   
195/200   risk = 0.021  time = 16044   
200/200   risk = 0.021  time = 16465   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=11468]
### [bt]: Calculation finished!
