### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7122]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7122 (seed = 38537) ...
  1/200   risk = 0.18  time = 0   
  5/200   risk = 0.13  time = 2429   
 10/200   risk = 0.094  time = 5434   
 15/200   risk = 0.07  time = 8427   
 20/200   risk = 0.054  time = 11425   
 25/200   risk = 0.044  time = 14419   
 30/200   risk = 0.038  time = 17443   
 35/200   risk = 0.034  time = 20489   
 40/200   risk = 0.031  time = 23498   
 45/200   risk = 0.029  time = 26443   
 50/200   risk = 0.027  time = 29374   
 55/200   risk = 0.026  time = 32319   
 60/200   risk = 0.026  time = 35290   
 65/200   risk = 0.025  time = 38281   
 70/200   risk = 0.024  time = 41333   
 75/200   risk = 0.024  time = 44374   
 80/200   risk = 0.024  time = 47325   
 85/200   risk = 0.023  time = 50276   
 90/200   risk = 0.023  time = 53244   
 95/200   risk = 0.023  time = 56197   
100/200   risk = 0.023  time = 59162   
105/200   risk = 0.022  time = 62184   
110/200   risk = 0.022  time = 65167   
115/200   risk = 0.022  time = 68137   
120/200   risk = 0.022  time = 71124   
125/200   risk = 0.022  time = 74079   
130/200   risk = 0.022  time = 77035   
135/200   risk = 0.022  time = 79989   
140/200   risk = 0.021  time = 82953   
145/200   risk = 0.021  time = 85908   
150/200   risk = 0.021  time = 88873   
155/200   risk = 0.021  time = 91961   
160/200   risk = 0.021  time = 94949   
165/200   risk = 0.021  time = 98022   
170/200   risk = 0.021  time = 101084   
175/200   risk = 0.021  time = 104016   
180/200   risk = 0.021  time = 106954   
185/200   risk = 0.021  time = 110015   
190/200   risk = 0.021  time = 112954   
195/200   risk = 0.021  time = 115923   
200/200   risk = 0.021  time = 118963   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=7122]
### [bt]: Calculation finished!
