### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2657]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2657 (seed = 34072) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.24  time = 318   
 10/200   risk = 0.2  time = 649   
 15/200   risk = 0.17  time = 951   
 20/200   risk = 0.15  time = 1253   
 25/200   risk = 0.13  time = 1556   
 30/200   risk = 0.12  time = 1859   
 35/200   risk = 0.11  time = 2165   
 40/200   risk = 0.1  time = 2470   
 45/200   risk = 0.098  time = 2797   
 50/200   risk = 0.093  time = 3097   
 55/200   risk = 0.09  time = 3394   
 60/200   risk = 0.087  time = 3698   
 65/200   risk = 0.084  time = 4001   
 70/200   risk = 0.082  time = 4304   
 75/200   risk = 0.08  time = 4607   
 80/200   risk = 0.078  time = 4912   
 85/200   risk = 0.077  time = 5216   
 90/200   risk = 0.076  time = 5522   
 95/200   risk = 0.075  time = 5828   
100/200   risk = 0.074  time = 6181   
105/200   risk = 0.073  time = 6570   
110/200   risk = 0.072  time = 6883   
115/200   risk = 0.071  time = 7194   
120/200   risk = 0.07  time = 7507   
125/200   risk = 0.07  time = 7820   
130/200   risk = 0.069  time = 8136   
135/200   risk = 0.068  time = 8454   
140/200   risk = 0.068  time = 8779   
145/200   risk = 0.067  time = 9085   
150/200   risk = 0.067  time = 9410   
155/200   risk = 0.067  time = 9720   
160/200   risk = 0.066  time = 10028   
165/200   risk = 0.066  time = 10340   
170/200   risk = 0.065  time = 10650   
175/200   risk = 0.065  time = 10961   
180/200   risk = 0.065  time = 11273   
185/200   risk = 0.064  time = 11586   
190/200   risk = 0.064  time = 11900   
195/200   risk = 0.064  time = 12214   
200/200   risk = 0.063  time = 12540   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.063


### [bt]: Job terminated successfully [batchtools job.id=2657]
### [bt]: Calculation finished!
