### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4779]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4779 (seed = 36194) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 2238   
 10/200   risk = 0.085  time = 4264   
 15/200   risk = 0.064  time = 5838   
 20/200   risk = 0.05  time = 7513   
 25/200   risk = 0.042  time = 9243   
 30/200   risk = 0.036  time = 11078   
 35/200   risk = 0.032  time = 12693   
 40/200   risk = 0.029  time = 14519   
 45/200   risk = 0.027  time = 16307   
 50/200   risk = 0.026  time = 18137   
 55/200   risk = 0.025  time = 19887   
 60/200   risk = 0.025  time = 21642   
 65/200   risk = 0.024  time = 23602   
 70/200   risk = 0.024  time = 25263   
 75/200   risk = 0.023  time = 26141   
 80/200   risk = 0.023  time = 27088   
 85/200   risk = 0.023  time = 28082   
 90/200   risk = 0.023  time = 28957   
 95/200   risk = 0.023  time = 29850   
100/200   risk = 0.022  time = 30890   
105/200   risk = 0.022  time = 31767   
110/200   risk = 0.022  time = 32632   
115/200   risk = 0.022  time = 33521   
120/200   risk = 0.022  time = 34390   
125/200   risk = 0.022  time = 35264   
130/200   risk = 0.022  time = 36168   
135/200   risk = 0.022  time = 51301   
140/200   risk = 0.022  time = 52754   
145/200   risk = 0.022  time = 54274   
150/200   risk = 0.022  time = 55804   
155/200   risk = 0.022  time = 57348   
160/200   risk = 0.022  time = 62037   
165/200   risk = 0.022  time = 63605   
170/200   risk = 0.022  time = 65254   
175/200   risk = 0.022  time = 89396   
180/200   risk = 0.021  time = 90958   
185/200   risk = 0.021  time = 92719   
190/200   risk = 0.021  time = 94349   
195/200   risk = 0.021  time = 96054   
200/200   risk = 0.021  time = 100234   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=4779]
### [bt]: Calculation finished!
